mora_60,dias_atraso_12_meses_antes,situacion_casa,edad,fecha_ingreso_empleo,antiguedad_tc_meses,producto_pasivo_12_meses_antes,ingreso_mensual,monto_linea_tc,monto_saldo_deudor_prom,score_aprob_tc,nro_veces_abono_12m_antes,zona_geografica,riesgos_sbs,nivel_educativo,edad_binned
0,235,FAMILIAR,30,2007-06-01,93,5,3500.0,0.0,0.0,214,5,Lima,4,PROFESIONAL,joven
0,18,FAMILIAR,32,2005-02-01,9,12,900.0,1824.67,1933.75,175,12,La Libertad,1,TECNICO,joven
0,0,FAMILIAR,26,2003-08-01,8,2,2400.0,2797.38,188.29,187,0,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,36,2003-07-01,20,12,2700.0,0.0,0.0,187,12,Ancash,0,TECNICO,joven
0,0,FAMILIAR,46,2006-11-01,0,1,3100.0,2000.0,11010.65,189,0,Lima,0,TECNICO,adulto
0,22,FAMILIAR,25,2004-05-01,9,12,2200.0,449.92,496.58,220,11,Lima,0,PROFESIONAL,joven
0,9,FAMILIAR,30,2006-12-01,12,8,2100.0,4827.64,850.21,193,7,Lima,0,PROFESIONAL,joven
0,8,PROPIA,55,2004-01-01,23,12,5593.21,10467.0,18620.8,199,12,Piura,0,TECNICO,adulto
0,2,FAMILIAR,30,2003-12-01,0,0,2000.0,7315.41,0.0,156,0,Piura,0,PROFESIONAL,joven
0,0,FAMILIAR,31,2004-02-01,0,4,3800.0,0.0,0.0,192,0,Ica,0,TECNICO,joven
0,0,FAMILIAR,26,2006-03-06,8,12,3929.72,6000.0,502.13,186,12,Loreto,0,TECNICO,joven
0,0,FAMILIAR,50,2004-01-01,0,2,6000.0,2802.74,19020.95,177,0,Junin,0,TECNICO,adulto
0,1,FAMILIAR,21,2005-11-11,12,12,1076.94,3900.0,3796.18,175,12,Lima,0,TECNICO,joven
0,0,PROPIA,41,2007-08-01,8,10,2615.68,3500.0,1825.18,199,10,Lima,0,TECNICO,joven
0,0,FAMILIAR,30,2007-05-01,6,11,850.0,675.0,2484.67,168,11,Lima,0,TECNICO,joven
0,1,FAMILIAR,52,2001-03-01,0,12,8000.0,2709.94,47869.37,197,0,Lambayeque,0,TECNICO,adulto
0,17,FAMILIAR,28,2002-02-01,47,0,2800.0,7324.16,0.0,175,0,Lima,2,PROFESIONAL,joven
0,0,FAMILIAR,45,1996-11-01,0,4,1053.0,541.21,0.0,168,0,Lima,1,PROFESIONAL,adulto
0,0,FAMILIAR,30,2007-01-01,10,12,1163.91,8871.27,32.05,168,11,Lima,0,TECNICO,joven
0,0,FAMILIAR,54,2006-12-01,9,12,666.11,2673.0,4010.56,180,12,Piura,0,TECNICO,adulto
0,25,FAMILIAR,29,2006-08-01,11,9,1500.0,1500.0,423.93,177,3,Lima,1,TECNICO,joven
0,2,FAMILIAR,35,2006-09-30,8,12,785.06,500.0,818.8,177,12,Lima,1,TECNICO,joven
0,2,FAMILIAR,51,2005-09-02,12,12,900.0,0.0,3672.76,180,9,Lima,0,TECNICO,adulto
0,2,FAMILIAR,29,2004-04-01,0,12,905.76,350.0,1814.11,194,12,Lima,0,TECNICO,joven
0,1,PROPIA,59,2002-05-01,9,12,2300.0,600.0,5195.7,230,12,Lima,0,TECNICO,adulto
0,2,PROPIA,41,2006-07-01,0,12,950.0,0.0,4444.3,218,12,Piura,0,TECNICO,joven
0,0,FAMILIAR,22,2008-06-01,8,12,2100.0,900.0,3533.97,214,2,Callao,0,PROFESIONAL,joven
0,25,FAMILIAR,23,2006-03-01,7,12,2100.0,1200.0,1412.51,174,2,Lima,1,PROFESIONAL,joven
0,6,FAMILIAR,26,2002-10-01,0,12,3000.0,2779.74,1815.53,215,9,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,32,2006-08-01,0,12,1779.79,0.0,9389.79,173,9,Lima,0,TECNICO,joven
0,0,FAMILIAR,30,2003-06-01,33,11,18000.0,13830.18,0.0,198,0,Lima,0,PROFESIONAL,joven
0,1,FAMILIAR,32,2007-10-01,0,12,940.79,1350.09,2835.34,175,11,Lima,0,TECNICO,joven
0,25,FAMILIAR,26,2005-02-01,33,12,1434.7,6910.5,5500.23,171,12,Callao,1,TECNICO,joven
0,0,FAMILIAR,29,2004-10-01,8,12,2600.0,1075.95,747.4,200,12,Lima,0,SUPERIOR,joven
0,0,PROPIA,40,1990-05-01,0,0,3100.0,0.0,0.0,204,0,Ancash,4,PROFESIONAL,joven
0,0,PROPIA,46,2002-06-11,0,1,900.0,4742.45,1610.13,172,0,Lambayeque,1,TECNICO,adulto
0,1,FAMILIAR,38,2006-02-01,0,12,1097.38,1200.0,4562.13,179,10,Lima,1,TECNICO,joven
0,0,FAMILIAR,26,2005-02-01,8,12,2300.0,6406.02,158.24,187,12,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,31,2005-06-01,8,12,1300.0,1850.0,1471.32,176,12,Lima,0,SUPERIOR,joven
0,0,FAMILIAR,24,2005-10-01,10,12,3500.0,0.0,0.0,179,0,Lima,0,TECNICO,joven
0,20,PROPIA,42,2003-03-01,0,12,2600.0,145.12,1316.08,207,12,Lima,2,TECNICO,adulto
0,0,FAMILIAR,29,2005-09-01,8,12,2100.0,863.39,89.83,200,12,Lima,0,PROFESIONAL,joven
0,1,FAMILIAR,34,2006-12-01,11,12,2066.59,1000.0,5356.8,196,12,Ica,0,TECNICO,joven
